Name,Duration,Genre,Rating
"Aiyaary",167,Action,5.3
"Ajab Prem Ki Ghazab Kahani",160,Action,6.4
"Ajab Singh Ki Gajab Kahani",105,Drama,5.8
"Ajay",156,Action,3.7
"Ajeeb Daastaans",132,Drama,6.7
"Ajji",94,Drama,6.9
"Ajnabee",175,Action,6.4
"Ajooba",188,Action,5.3
"AK 47",135,Action,5
"AK vs AK",118,Action,6.9
"Akaash Vani",139,Drama,6.3
"Akayla",190,Action,5
"Akele Hum Akele Tum",150,Drama,7
"Aks",194,Action,5.8
"Aksar",125,Drama,4.8
"Alaap",150,Drama,6.7
"Aladin",142,Action,4.6
"Alag: He Is Different.... He Is Alone...",133,Action,3.8
"Alam Ara",114,Drama,6.8
"Alibaba and 40 Thieves",155,Action,6.2
"Alibaba Marjinaa",173,Action,6.7
"All Rounder",138,Action,4.8
"All the Best: Fun Begins",154,Action,6.2
"Allah Ke Banday",133,Action,6.1
"Allah-Rakha",170,Action,5.4
"Amaanat",150,Action,4.7
"Aman Ke Farishtey",147,Action,6.6
"Amanush",143,Drama,7
"Amar",139,Drama,6.8
"Amar Jyoti",156,Drama,6.1
"Amar Prem",133,Drama,8.2
"Amar Rahe Ye Pyar",111,Drama,6.5
"Amar Shakti",143,Action,4.9
"Amar, Akbar and Anthony",194,Action,7.5
"Amir Garib",150,Action,6.6
"Amma",125,Drama,6.2
"Amrit",127,Drama,7
"Amu",92,Drama,7.3
"Anaarkali of Aarah",103,Drama,5.9
"Anand",112,Drama,8.3
"Ananda Ashram",117,Drama,7.1
"Anari",134,Drama,6.2
"Andaaz",135,Drama,5.3
"Andaz",156,Drama,6.7
"Andaz",177,Action,4.4
"Andaz Apna Apna",170,Action,8.1
"Andha Oru Nimidam",154,Action,6.8
"Andhaa Kaanoon",165,Action,6.1
"Andhi Gali",142,Drama,5.5
"Andolan",175,Action,5
"Angaar",186,Action,6.4
"Angaara",137,Action,4.3
"Angaaray",151,Action,5.3
"Angel",124,Action,6.3
"Angoor",96,Drama,6.1
"Angrakshak",126,Action,4.4
"Angulimaal",163,Action,6.1
"Anhonee",145,Drama,7.2
"Anhonee",117,Drama,7.1
"Anjaam",160,Drama,6.9
"Anjaneyulu",153,Action,4.8
"Ankhen",182,Action,7.2
"Ankur Arora Murder Case",119,Drama,6.5
"Ankush",159,Action,7.5
"Anmol",153,Drama,5.6
"Anmol Ghadi",112,Drama,7.3
"Anmol Sitaare",143,Drama,7
"Annai Velankanni",138,Drama,7.1
"Annamalai",174,Action,7.7
"Anokha",142,Action,4.9
"Anokha Bandhan",124,Drama,7.4
"Anokha Milan",115,Drama,6.3
"Anokha Moti",76,Drama,6.9
"Anokhi Ada",140,Drama,4.5
"Anpadh",140,Drama,6.6
"Ansoo Ban Gaye Phool",135,Drama,7.2
"Antarnaad",150,Drama,5.5
"Antenna",74,Drama,7.1
"Anth",146,Action,4.4
"Anubhav",129,Drama,6.7
"Anupama",138,Drama,7.4
"Anuraag",115,Drama,6.6
"Anuradha",131,Drama,6.6
"Anurodh",137,Drama,6.8
"Anwar",134,Drama,6.6
"Anyay Abichar",135,Action,7.4
"Apaatkaal",147,Action,5.7
"Apaharan",183,Action,7.4
"Apartment: Rent at Your Own Risk",87,Drama,3.5
"Apna Asmaan",100,Drama,6.2
"Apna Bana Ke Dekho",142,Drama,5.9
"Apnapan",123,Drama,6.5
"Apne",163,Drama,6
"Apne Dam Par",165,Action,5.6
"Apne Paraye",113,Drama,6.8
"Apne Rang Hazaar",114,Drama,6.1
"Apradh",138,Action,6.8
"Apradhi",112,Drama,7.3
"Aradhana",159,Drama,7.6
"Aranyaka",80,Drama,6.5
"Arjun",164,Action,7.2
"Arjun Devaa",143,Action,3.6
"Arjun Pandit",160,Action,5.2
"Arjun Patiala",117,Action,4.3
"Armaan",148,Drama,5.2
"Army",163,Action,4.3
"Arohan",116,Drama,5.3
"Arpan",134,Drama,6.2
"Arth",128,Drama,7.9
"Arvind Desai Ki Ajeeb Dastaan",108,Drama,6.9
"Aryan",191,Action,7
"Aryan: Unbreakable",145,Action,4.4
"Arzoo",167,Drama,7.1
"Asambhav",149,Action,3.4
"Ascharyachakit!",80,Drama,4.9
"Asha Jyoti",132,Drama,6.3
"Ashaant",151,Action,5.2
"Ashiana",94,Drama,7.6
"Ashok Chakra: Tribute to Real Heroes",96,Action,4.8
"Ashoka the Great",190,Action,6.5
"Asli-Naqli",135,Drama,7.5
"Astitva",99,Drama,7.3
"Atal Faisla",117,Drama,8.8
"Athbhutha Dweepu",137,Action,5.4
