Name,Duration,Genre,Rating
Door Ka Raahi,128,Drama,7.7
Dozakh in Search of Heaven,82,Drama,7
Drishti,161,Drama,7.1
Drive,157,Action,3.5
Dum Laga Ke Haisha,99,Drama,7.3
Duniya Na Mane,156,Drama,6.9
Durdesh,153,Action,6.2
Dus Kahaniyaan,100,Drama,5.7
Dushmun,167,Drama,7.1
Eeshwar,137,Drama,7.2
Ek Aasha,113,Drama,7.8
Ek Adhuri Kahani,105,Drama,7.7
Ek Baar Chale Aao,127,Drama,6.7
Ek Baar Phir (Once Again),137,Drama,6.3
Ek Saal,124,Drama,7.3
Ek Sainik - The Tale of a warrior,55,Action,8.2
Ek Sapera Ek Lutera,135,Action,4.9
Ek Tha Raja,160,Action,3.9
Eklavya: The Royal Guard,115,Action,6.1
Elaan,154,Action,6
Extraordinaari,134,Drama,3.4
Falak (The Sky),176,Action,6
Fanaa,178,Action,7.2
'Ferry',118,Drama,5.8
Filter Coffee Liquor Cha,70,Drama,6.9
Flame: An Untold Love Story,87,Drama,6
Four Faces of India,150,Drama,7.5
Four Pillars of Basement,144,Action,4.6
Frozen,99,Drama,7.1
Future to Bright Hai Ji,170,Drama,6.2
Game,156,Action,5.3
Gandhigiri,118,Drama,4.6
Gang,162,Action,6.1
Ganga Aur Suraj,147,Drama,6.4
Ganga Ki Saugand,152,Action,5.4
Ganga Meri Maa,135,Drama,5.7
Gangaa Jamunaa Saraswathi,197,Action,4.6
Gangaajal,167,Action,7.8
Gangster,133,Action,7.1
Gaon Hamara Shaher Tumhara,117,Drama,6.8
Gauri,142,Drama,6.5
Gemini,160,Action,6.1
Ghar,111,Drama,7
Ghar Ek Mandir,146,Drama,5.5
Ghar Mein Ram Gali Mein Shyam,126,Drama,4.7
Ghar Pe Bataao,62,Drama,7.6
Ghoonghat,130,Action,5.4
Go Goa Gone,121,Action,6.7
Godam,130,Drama,7.1
GRADE,54,Drama,6.1
Gudia,129,Drama,6.7
Gulaab Gang,149,Action,6.1
Gumnaam,141,Drama,7
Gumnaami,152,Action,7.8
Gumrah,145,Drama,6.9
Gunaah,127,Action,4.7
Gunga Jumna,188,Action,7.6
Gunjan Saxena: The Kargil Girl,122,Action,5.3
Guru,169,Action,6.7
Guru Sishyan,149,Action,7.1
Haan Maine Bhi Pyaar Kiya,164,Drama,3.7
Hafta Vasuli,150,Action,4.9
Hamaara Sansaar,118,Drama,6.7
Hamrahi,139,Drama,6.4
Hamrahi,111,Drama,6.7
Happy New Year,190,Action,5
Haqeeqat,176,Action,4.6
Har Kisse Ke Hisse: Kaamyaab,99,Drama,7.9
Harfan Maulaa,148,Action,5.5
Haseena Maan Jaayegi,157,Action,6.2
Hathyar: Face to Face with Reality,150,Action,5.6
Haunted - 3D,153,Action,6.3
Heer Ranjha,149,Drama,5.1
Hello Zindagi,115,Drama,6
Hey Ram Hamne Gandhi Ko maar Diya,96,Drama,6.3
Himmat,148,Action,4.5
Himmatwala,189,Action,4.5
Hogi Pyaar Ki Jeet,190,Action,4.3
Holi Ayee Re,134,Drama,5.9
Holiday: A Soldier is Never Off Duty,170,Action,7.2
House of Memories,120,Drama,7.3
Housefull 2,155,Action,5.3
Hukumat,140,Action,6.1
Hulchul,162,Action,4.6
Hulchul,159,Action,7
Hum Bhi Insaan Hain,159,Action,5.8
Hum Kisise Kum Naheen,179,Action,7.2
Hum Naujawan,127,Drama,5.3
Hum Paanch,173,Action,6.5
Hum Saath-Saath Hain: We Stand United,167,Drama,6.3
Hum Sab Chor Hain,153,Action,3.5
Hum To Chale Pardes,127,Drama,5.8
Hum Tumhare Hain Sanam,164,Drama,5.4
Humko Deewana Kar Gaye,145,Drama,5.2
Ikke Pe Ikka,144,Action,3.6
Ilaaka,171,Action,4.7
I'm in Love,150,Action,9.2
In Your Name,142,Action,7.1
Insaaf: The Final Justice,165,Action,4.2
Inspector Balram,153,Action,6.9
Intaquam,134,Drama,6.8
Inteha,165,Action,5.1
Inteqam: The Perfect Game,137,Action,5
Isi Ka Naam Zindagi,150,Action,5.7
Itihaas,164,Action,3.5
Ittefaq,148,Action,4.5
Izzatdaar,182,Action,5
Jaal,166,Action,5.8
Jaan,180,Action,4.1
Jaan Tere Naam,140,Drama,5.9
Jaanisaar,114,Drama,5
Jab Se Tumhe Dekha Hai,126,Drama,6.2
Jai Shiv Shankar,80,Drama,5.3
Jail,121,Drama,6.2
Jaise Ko Taisa,124,Drama,5.3
Jai-Vijay,162,Action,5.2
Jajantaram Mamantaram,132,Action,5.8
Jawani Ke Gunah,110,Drama,4.6
Jeena Marna Tere Sang,160,Action,4.8
Jeene Do,135,Action,4.6
Jeet,190,Action,5.7
Jhanak Jhanak Payal Baaje,133,Drama,6.5
Jhoothi Shaan,149,Action,4.6
Jihad,134,Drama,8.6
Jo Bole So Nihaal,135,Action,3.6
Johny Mera Naam,169,Action,7.3
Joshilaay,117,Action,5.7
Junction Varanasi,139,Drama,3.7
Jung,156,Action,4
Junglee,125,Action,5.6
Jurrat,156,Action,4.6
Just Like That,99,Drama,7.9
Jwalamukhi,172,Action,5.8
Kaaboo,145,Action,6.5
Kaadan,180,Action,9.1
Kaadhal Parisu,133,Drama,6.1
Kaala Patthar,186,Action,7.7
Kaala Sona,147,Action,6.4
Kaamaagni,124,Drama,4.6
Kaash,130,Drama,6.3
Kaash,96,Drama,5
Kabir Singh,183,Action,7.1
Kachchi Sadak,155,Action,6.1
Kadal Meengal,127,Drama,6.6
Kadamban,152,Action,5.3
Kahani Ek Chor Ki,148,Action,5.2
Kaisay Kahein...,113,Drama,6.2
Kajarya,122,Drama,6.6
Kaksparsh,130,Drama,7.9
Kal Kissne Dekha,144,Action,3.6
Kal: Yesterday and Tomorrow,110,Drama,6.3
Kalaignan,153,Action,6.3
Karan,130,Action,4
Karobaar: The Business of Love,170,Drama,4.4
Karthik Calling Karthik,125,Drama,7.1
Kasba,111,Drama,7
Kastoori,90,Drama,8.7
Kathputli,138,Drama,6.9
Kati Patang,157,Drama,7.2
Khaali Peeli,129,Action,2.3
Khamoshi: The Musical,150,Drama,7.5
Khandaan,120,Drama,6.5
Khandhar,96,Drama,7.2
Khap,115,Drama,5
Khauff,134,Action,4.4
Khayal Gatha,93,Drama,6.6
Khilari,148,Action,6.8
Khuda Kasam,170,Action,3.2
Khud-Daar,179,Action,6.9
Khuddar,177,Action,5.1
Khwaabb,80,Drama,5.5
Kill Dil,137,Action,4.3
Kismat,153,Action,3.7
Kismet,133,Drama,7.4
Kismetwala,100,Action,4.2
Kitaab,114,Drama,7.4
Koi Hai,92,Drama,2.4
Koi Mere Dil Mein Hai,118,Drama,4.7
Kondaveeti Raja,150,Action,6.3
Kora Kagaz,115,Drama,7.4
Koshish,115,Drama,8.6
Koyelaanchal,155,Action,5.4
Krishna,166,Action,4.7
Kroadh,154,Action,5.1
Kshay,82,Drama,6.7
Kuch Der Aur,55,Drama,8.5
Kurbaan,143,Action,4.2
Kurbaan,171,Action,5.7
Laat Saab,136,Action,3.2
Laawaris,127,Action,4.4
Lafangey Parindey,136,Action,5.2
Lajja,212,Action,6.7
Lakshmi,105,Drama,7.9
Lanka,117,Action,5.8
Lashkar,186,Action,5.8
Let's Bring Our Heroes Home,173,Action,6.1
Life of an Outcast,71,Drama,6.6
Little John,136,Action,5.1
Love Sonia,112,Drama,7.4
Luck,151,Action,4.8
Lucknow Central,143,Action,6.2
Ludo,159,Action,7.6
M.... Matric Pass,108,Drama,3.9
Maa,110,Drama,7.2
Maanthrikam,154,Action,6.3
Madly,96,Drama,5.4
Maha Shaktimaan,119,Action,6.4
Mahaadev,141,Action,5.7
Maharaja,174,Action,4.1
Mai,95,Drama,6.7
Main Tera Hero,138,Action,5.1
Main Tulsi Tere Aangan Ki,141,Drama,6.7
Majhli Didi,126,Drama,7.7
Major Saab,175,Action,5.3
Malli,80,Drama,7.6
Mammo,120,Drama,7.7
Mard,187,Action,6.2
Margarita with a Straw,90,Drama,7.2
Marshal,119,Action,5.4
Marte Dam Tak,165,Action,4.9
Marudhar Express,96,Drama,6.1
Mashaal,172,Action,7.3
Maska,166,Action,5.2
Mawali No.1,125,Action,3.5
Mazdoor Zindabaad,114,Drama,5.7
Meharbaani,130,Drama,6.1
Mehbooba,153,Drama,3.5
Melody,138,Drama,6.4
Memories in March,94,Drama,7.2
Mera Saaya,118,Drama,7.6
Mere Jeevan Saathi,119,Drama,3.5
Mere Khwabon Mein Jo Aaye,109,Drama,5.6
Meri Zabaan,159,Action,5.7
Michael,87,Drama,5.3
Milap,101,Drama,6
Mirza Juuliet,120,Drama,4.1
Miss India,138,Drama,7.5
Missing,110,Drama,5.8
Mission Istaanbul: Darr Ke Aagey Jeet Hai!,140,Action,3.4
Mitr: My Friend,94,Drama,6.8
Mitti Aur Sona,173,Action,4.7
Mohabbat Isko Kahete Hain,92,Drama,6.7
Mohan Joshi Hazir Ho!,120,Drama,7.1
Mohra,187,Action,7
Mr Joe B. Carvalho,140,Action,3.6
Mr. Bond,137,Action,4.3
Mr. India,189,Action,7.8
Mr. White Mr. Black,140,Action,3.3
Mr. X,143,Action,3.8
Mrigayaa,109,Drama,6.6
Mrityudaata,168,Action,2.5
Mudda 370 J&K,142,Action,8.6
Muddat,145,Action,6
Mujhe Insaaf Chahiye,123,Drama,6.5
Mumbai Mirror,146,Action,4.9
Mumbai Se Aaya Mera Dost,156,Action,3.3
Munnibai,146,Action,4
Muqabla,137,Action,6.5
Muqaddar,179,Drama,5.5
Muqaddar Ka Sikandar,179,Drama,7.5
My Darling,70,Drama,7.4
My Dear Kuttichaathan,106,Action,7.5
My Name Is Khan,155,Drama,8
Naami Chor,137,Action,5.8
Nagin,129,Drama,6.7
Naina,124,Drama,6.3
Naina,94,Drama,4.3
Nakhuda,107,Drama,6.4
Narayan,120,Action,6.8
Nartaki,140,Drama,6.5
Nasihat,149,Action,5.1
Nateeja,130,Action,4.9
Naya Daur,163,Drama,8
Naya Khoon,108,Drama,4.4
Neecha Nagar,112,Drama,6.8
Nehlle Pe Dehlla,135,Action,3.8
Nil Battey Sannata,90,Drama,8.3
Nirdosh,120,Drama,4
Nirdosh,100,Drama,3.9
Nirvana13,85,Drama,9.1
Nishchaiy,156,Action,4.2
Noukadubi,125,Drama,7.6
Numbri Aadmi,135,Action,4.3
Nympho: The Lust Story,94,Drama,5.3
Octave,108,Drama,5.1
Offshore,82,Drama,6.3
One 2 Ka 4,179,Action,5.4
Paan Singh Tomar,145,Action,8.2
Paap,130,Action,5.1
