Runs,Mins,BF,4s,6s,SR,Pos,Dismissal,Inns,Opposition,Ground,Start Date,Odi No
139,192,126,12,3,110.31,4,not out,2,v Sri Lanka,Ranchi,16/11/14,ODI # 3547
9,24,16,0,0,56.25,4,caught,1,v Australia,Melbourne,18/01/15,ODI # 3582
4,13,8,0,0,50,4,caught,1,v England,Brisbane,20/01/15,ODI # 3586
3,8,9,0,0,33.33,4,not out,1,v Australia,Sydney,26/01/15,ODI # 3592
8,26,19,0,0,42.1,3,caught,1,v England,Perth,30/01/15,ODI # 3595
107,168,126,8,0,84.92,3,caught,1,v Pakistan,Adelaide,15/02/15,ODI # 3602
46,106,60,3,0,76.66,3,caught,1,v South Africa,Melbourne,22/02/15,ODI # 3610
33,49,41,5,0,80.48,3,not out,2,v U.A.E.,Perth,28/02/15,ODI # 3618
33,51,36,5,0,91.66,3,caught,2,v West Indies,Perth,06/03/15,ODI # 3625
44,64,42,4,1,104.76,3,not out,2,v Ireland,Hamilton,10/03/15,ODI # 3631
38,71,48,4,0,79.16,3,bowled,2,v Zimbabwe,Auckland,14/03/15,ODI # 3636
3,6,8,0,0,37.5,3,caught,1,v Bangladesh,Melbourne,19/03/15,ODI # 3641
1,11,13,0,0,7.69,3,caught,2,v Australia,Sydney,26/03/15,ODI # 3645
1,9,4,0,0,25,3,caught,2,v Bangladesh,Mirpur,18/06/15,ODI # 3658
23,57,27,3,1,85.18,3,lbw,1,v Bangladesh,Mirpur,21/06/15,ODI # 3660
25,55,35,1,0,71.42,3,bowled,1,v Bangladesh,Mirpur,24/06/15,ODI # 3661
11,29,18,0,0,61.11,4,caught,2,v South Africa,Kanpur,11/10/15,ODI # 3689
12,24,18,0,0,66.66,4,run out,1,v South Africa,Indore,14/10/15,ODI # 3692
77,155,99,5,0,77.77,3,caught,2,v South Africa,Rajkot,18/10/15,ODI # 3695
138,202,140,6,5,98.57,3,caught,1,v South Africa,Chennai,22/10/15,ODI # 3698
7,11,6,0,1,116.66,3,caught,2,v South Africa,Wankhede,25/10/15,ODI # 3700
91,148,97,9,1,93.81,3,caught,1,v Australia,Perth,12/01/16,ODI # 3723
59,84,67,4,0,88.05,3,run out,1,v Australia,Brisbane,15/01/16,ODI # 3724
117,174,117,7,2,100,3,caught,1,v Australia,Melbourne,17/01/16,ODI # 3725
106,131,92,11,1,115.21,3,caught,2,v Australia,Canberra,20/01/16,ODI # 3726
8,11,11,1,0,72.72,3,caught,2,v Australia,Sydney,23/01/16,ODI # 3727
85,109,81,9,1,104.93,3,not out,2,v New Zealand,Dharamsala,16/10/16,ODI # 3796
9,18,13,1,0,69.23,3,caught,2,v New Zealand,Delhi,20/10/16,ODI # 3797
154,202,134,16,1,114.92,3,not out,2,v New Zealand,Mohali,23/10/16,ODI # 3798
45,64,51,2,1,88.23,3,caught,2,v New Zealand,Ranchi,26/10/16,ODI # 3799
65,152,76,2,1,85.52,3,caught,1,v New Zealand,Visakhapatnam,29/10/16,ODI # 3800
122,147,105,8,5,116.19,3,caught,2,v England,Pune,15/01/17,ODI # 3819
8,6,5,2,0,160,3,caught,1,v England,Cuttack,19/01/17,ODI # 3821
55,81,63,8,0,87.3,3,caught,2,v England,Eden Gardens,22/01/17,ODI # 3824
81,108,68,6,3,119.11,3,not out,1,v Pakistan,Birmingham,04/06/17,ODI # 3878
0,5,5,0,0,0,3,caught,1,v Sri Lanka,The Oval,08/06/17,ODI # 3882
76,136,101,7,1,75.24,3,not out,2,v South Africa,The Oval,11/06/17,ODI # 3886
96,96,78,13,0,123.07,3,not out,2,v Bangladesh,Birmingham,15/06/17,ODI # 3891
5,11,9,0,0,55.55,3,caught,2,v Pakistan,The Oval,18/06/17,ODI # 3894
